NAMESPACE	POD	CONTAINER	MEM-Q1
backoffice-prd	oossacl-backend-7-s5svk	oossacl-backend	103321600
backoffice-prd	backoffice-frontend-prod-41-5fvxz	backoffice-frontend-prod	93457408
backoffice-prd	oossacl-backend-7-qdsfv	oossacl-backend	103346176
backoffice-prd	oossacl-backend-7-5687l	oossacl-backend	132930560
backoffice-prd	oossacl-backend-7-9pkgk	oossacl-backend	103307264
backoffice-prd	oossacl-backend-7-vfqml	oossacl-backend	115329024
backoffice-prd	oossacl-backend-7-m5bnd	oossacl-backend	103366656
backoffice-prd	oossacl-backend-7-6bw42	oossacl-backend	103365632
backoffice-prd	backoffice-backend-12-4cxxl	backoffice-backend	154017792
backoffice-prd	backoffice-frontend-prod-41-nfbrv	backoffice-frontend-prod	88547328
backoffice-prd	backoffice-frontend-prod-41-hcz64	backoffice-frontend-prod	91049984
backoffice-prd	backoffice-frontend-prod-41-k5bhw	backoffice-frontend-prod	88776704
backoffice-prd	oossacl-backend-7-fnggg	oossacl-backend	103358464
backoffice-prd	oossacl-backend-7-hzmkk	oossacl-backend	133210112
backoffice-prd	oossacl-backend-7-t4pt7	oossacl-backend	103208960
backoffice-prd	oossacl-backend-7-jvp54	oossacl-backend	103292928
backoffice-prd	oossacl-backend-7-4nsjq	oossacl-backend	132947968
